name,ring,quadrant,isNew,description
Terraform,Adopt,Tools,TRUE,"Is an open-source infrastructure as code software tool created by HashiCorp. </br>
Users define and provide data center infrastructure using a declarative configuration language known as HashiCorp Configuration Language (HCL), or optionally JSON.</br>
<a href=""https://www.terraform.io/"" target=""_blank"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"">Internal Reference</a></br>"
Figma,Adopt,Tools,TRUE,"Is a vector graphics editor and prototyping tool which is primarily web-based, with additional offline features enabled by desktop applications for macOS and Windows. The Figma Mirror companion apps for Android and iOS allow viewing Figma prototypes in real-time on mobile devices. The feature set of Figma focuses on use in user interface and user experience design, with an emphasis on real-time collaboration. </br>
<a href=""https://www.figma.com/"" target=""_blank"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"">Internal Reference</a></br>"
AWS Wrangler,Trial,Tools,TRUE,"An AWS Professional Service open source python initiative that extends the power of Pandas library to AWS connecting DataFrames and AWS data related services. </br>
Easy integration with Athena, Glue, Redshift, Timestream, QuickSight, Chime, CloudWatchLogs, DynamoDB, EMR, SecretManager, PostgreSQL, MySQL, SQLServer and S3 (Parquet, CSV, JSON and EXCEL).</br>
<a href=""https://aws-data-wrangler.readthedocs.io/en/2.4.0-docs/index.html"" target=""_blank"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"">Internal Reference</a></br>"
Datadog,Assess,Tools,TRUE,"Is a monitoring service for cloud-scale applications, providing monitoring, alerting and APM of servers, databases, tools, and services, through a SaaS-based data analytics platform.</br>
<a href=""https://www.datadoghq.com/"" target=""_blank"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"">Internal Reference</a></br>"
Sonarqube,Assess,Tools,TRUE,"Is an open-source platform developed by SonarSource for continuous inspection of code quality to perform automatic reviews with static analysis of code to detect bugs, code smells, and security vulnerabilities on 20+ programming languages. SonarQube offers reports on duplicated code, coding standards, unit tests, code coverage, code complexity, comments, bugs, and security vulnerabilities.</br>
SonarQube can record metrics history and provides evolution graphs. SonarQube provides fully automated analysis and integration with Maven, Ant, Gradle, MSBuild and continuous integration tools (Atlassian Bamboo, Jenkins, Hudson, etc.).</br>
<a href=""https://www.sonarqube.org/"" target=""_blank"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"">Internal Reference</a></br>"
Slack,Assess,Tools,TRUE,"is a proprietary business communication platform developed by American software company Slack Technologies. Slack offers many IRC-style features, including persistent chat rooms (channels) organized by topic, private groups, and direct messaging..</br>
<a href=""https://slack.com/"" target=""_blank"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"">Internal Reference</a></br>"
Fivetran,Assess,Tools,TRUE,"Automated data integrations built on a fully managed ELT architecture that delivers zero-maintenance pipelines and ready-to-query schemas.</br>
<a href=""https://fivetran.com/"" target=""_blank"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"" >Internal Reference</a></br>"
Castor,Assess,Tools,TRUE,"Data catalogue, that helps documentation of all available data (""google for internal datasets"")"
dbt,Assess,Tools,TRUE,"Dbt enables data analysts and data engineers to automate the testing and deployment of the data transformation process. This is especially useful because many companies have increasingly complex business logic behind their reporting data. The dbt tool keeps a record of all changes made to the underlying logic and makes it easy to trace data and update or fix the pipeline through version control.</br>
<a href=""https://www.getdbt.com/"" target=""_blank"" >Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"">Internal Reference</a></br>"
Apache Airflow,Assess,Tools,TRUE,"Is a platform to programmatically author, schedule and monitor workflows. Airflow has a modular architecture and uses a message queue to orchestrate an arbitrary number of workers.</br>
<a href=""https://airflow.apache.org/"" target=""_blank"" >Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"" target=""_blank"">Internal Reference</a></br>"
